url,Title,Course Headline,Instructor,Rating,Price,length,number_of_lectures,difficulty
https://www.udemy.com/course/c-programming-guide-for-beginners/,C Programming Language: The Ultimate Guide for Beginners,C programming course for beginners to help you write complex C programs & land in a high paying IT job,"Aptuts Online Coaching, Prashant Nayak",4.4,NULL,6 total hours,95 lectures,All Levels
https://www.udemy.com/course/test-your-c-programming-skills/,Learn C By Examples : Basics to Advanced Comprehensive Guide,"Concepts and Programming, Deep drive into Pointers, Demo of 60+ Coding Challenges, Build & Test Your C with 300+ MCQ",Sandeep Thorat,4.3,NULL,15.5 total hours,254 lectures,All Levels
https://www.udemy.com/course/c-programming-pointers-from-zero-to-hero/,Pointers in C Programming - Master the C Language,C Language Pointers Masterclass: Learn how to use Pointers in C Programming Language,Vlad Budnitski,4.9,NULL,14.5 total hours,90 lectures,Beginner
https://www.udemy.com/course/modern-cpp-concurrency-in-depth/,Modern C++ Concurrency in Depth ( C++17/20),"modern c++ concurrency features including memory model, lock free data structure, thread pools, coroutines.",Kasun Liyanage,4.3,NULL,10 total hours,98 lectures,Intermediate
https://www.udemy.com/course/learn-socket-programming-in-c-from-scratch/,Learn Socket Programming in C from Scratch,Master the socket programming concepts and start building networked applications in C programming language,"Eduonix Learning Solutions, Eduonix-Tech ., Eduonix Support",4.0,NULL,1.5 total hours,11 lectures,Intermediate
https://www.udemy.com/course/programming-games-for-the-atari-2600/,Learn Assembly Language by Making Games for the Atari 2600,Programming games for the Atari 2600 platform using 6502 Assembly Language,"Gustavo Pezzi, Pikuma .com",4.8,Current price₹455,16 total hours,93 lectures,All Levels
https://www.udemy.com/course/x86-assembly-programming-from-ground-uptm/,x86 Assembly Language Programming From Ground Up™,"Build over 50 Assembly Programs -  x86 Instruction Set, SIMD, Image Processing Algorithms, DSP Routines, MMX, SSE, AVX",Israel Gbati,4.4,Current price₹455,17.5 total hours,79 lectures,All Levels
https://www.udemy.com/course/x86-asm-foundations/,Assembly Language Adventures: Complete Course,Learn the language of your computer,xor pd,4.6,"Current price₹2,880",29 total hours,120 lectures,All Levels
https://www.udemy.com/course/stm32f4-arm-cortex-mx-custom-bootloader-development/,STM32Fx Microcontroller Custom Bootloader Development,NULL,"FastBit Embedded Brain Academy, Kiran Nayak",4.7,Current price₹455,29 total hours,120 lectures,All Levels
https://www.udemy.com/course/arm-assembly-programming/,ARM Assembly Language From Ground Up™ 1,NULL,"Israel Gbati, BHM Engineering Academy",4.5,Current price₹455,29 total hours,120 lectures,All Levels
https://www.udemy.com/course/microcontroller-programming-stm32-timers-pwm-can-bus-protocol/,"Mastering Microcontroller: Timers, PWM, CAN, Low Power(MCU2)",NULL,"FastBit Embedded Brain Academy, Kiran Nayak",4.6,Current price₹455,29 total hours,120 lectures,All Levels
https://www.udemy.com/course/8051-microcontroller-embedded-c-and-assembly-language/,8051 Microcontroller - Embedded C and Assembly Language,Hands-on Approach | 25+ code examples | KEIL IDE | Proteus | Flash Magic | 2 Projects | Sensor and display interfacings,Smart Logic Academy,4.3,Current price₹455,8.5 total hours,67 lectures,All Levels
https://www.udemy.com/course/x86-assembly-language-programming-masters-course/,x86 Assembly Language Programming Masters Course,Learn Assembly From A Decade Of Experience,Daniel McCarthy,4.3,Current price₹455,3.5 total hours,26 lectures,All Levels
https://www.udemy.com/course/arm-assembly-programming/,ARM Assembly Language From Ground Up™ 1,"Build over 50 Assembly Programs -  ARM Instruction Set, Peripheral Driver Development, Algorithms, DSP routines etc.","Israel Gbati, BHM Engineering Academy",4.5,Current price₹455,15 total hours,148 lectures,All Levels
https://www.udemy.com/course/assembly-language-programming-in-8051/,Assembly Language Programming in 8051,Learn how to program 8051 Microcontroller using Assembly Language Constructs!,Sujithkumar MA,4.4,Current price₹455,5 total hours,42 lectures,Beginner
https://www.udemy.com/course/x86-64-bit-assembly-language-step-by-step-tutorial/,x86 64-bit Assembly Language: Step-by-Step Tutorial,Learn x86-64 Assembly Language Programming From Scratch,x-BIT Development,4.3,Current price₹455,6 total hours,73 lectures,All Levels
